Clearness,GHI Actual,GHI Theoretical
0.49,346.49,380.406172
0.46,363.39,357.1159982
0.52,341.15,403.6963458
0.54,317.77,419.2231284
0.51,320.05,395.9329546
0.55,306.73,426.9023937
0.55,303.3,426.9023937
0.55,312.62,426.8182537
0.39,344.38,302.6529435
0.48,315.79,372.4959305
0.56,307.14,434.4929013
0.57,293.91,442.2517031
0.52,321.84,403.4912624
0.55,309.59,426.6854291
0.59,312.63,457.7170967
0.59,307.8,457.7170967
0.61,313.24,473.1395567
0.62,302.91,480.8959429
0.65,305.89,504.0655881
0.62,309.77,480.8010225
0.62,312.48,450.3224992
0.57,325.69,416.11932
0.49,348.1,359.5240944
0.65,310.52,479.3043333
0.62,296.77,459.4848268
0.61,301.14,454.2900086
0.54,310.86,404.1101519
0.51,322.31,383.492591
0.5,323.24,377.7615164
0.48,334.4,364.3588372
0.52,338.63,396.515301
0.52,347.78,398.3461951
0.56,346.26,430.9484555
0.61,336.96,471.4577631
0.64,336.3,496.8614093
0.49,355.42,382.0238307
0.51,359.66,399.3204411
0.64,318.33,503.19382
0.65,316.83,513.2595791
0.63,322.3,499.4971474
0.61,323.49,485.593958
0.62,327.45,495.6209459
0.59,330.88,473.461892
0.6,328.59,483.3769631
0.65,328.22,525.7882727
0.63,333.02,511.4801682
0.51,360.52,415.6342573
0.57,368.29,466.2866128
0.55,371.29,451.5683322
0.61,362.29,502.5990099
0.62,358.93,512.7133178
0.47,380.6,390.0824623
0.59,369.15,492.0763327
0.64,356.38,536.4432122
0.6,358.98,505.265943
0.5,399.79,423.0251541
0.45,406.66,382.543623
0.47,396.3,401.3659241
0.55,393.4,471.7927461
0.33,408.12,284.3477803
0.55,396.02,475.9076609
0.6,362.71,521.4037155
0.6,365.16,523.6064502
0.27,384.05,236.5862576
0.66,351.94,580.6170308
0.66,344.26,582.9703836
0.63,349.52,558.6936458
0.56,369.48,498.5010256
0.62,353.91,554.0036315
0.67,345.92,600.8790174
0.66,350.73,594.0575769
0.65,356.3,587.1469804
0.55,394.55,498.5649455
0.59,381.45,536.631775
0.66,364.19,602.3485242
0.55,395.09,503.6437249
0.65,378,597.104264
0.7,355.5,645.0750158
0.67,367.94,619.259726
0.6,393.57,556.3127521
0.48,427.23,446.2240943
0.51,413.76,475.3408172
0.57,397.09,532.5539809
0.64,374.25,599.5170522
0.62,386.9,582.141391
0.65,389.33,611.7180799
0.6,414.84,565.9296401
0.56,423.02,529.375272
0.23,426.72,217.9171575
0.49,407.93,465.196706
0.49,419.4,466.1679124
0.55,417.16,524.3198517
0.61,402.02,582.6257337
0.64,406.96,612.4263049
0.66,393.62,632.7120033
0.57,414.17,547.4646173
0.59,425.95,567.6061963
0.54,430.73,520.400995
0.47,425.29,453.6597858
0.57,425.71,551.035766
0.53,427.84,513.1436255
0.42,439.42,407.2075835
0.24,449.54,233.0065119
0.26,443.77,252.7615006
0.55,428.68,535.3752381
0.55,427.66,536.0118534
0.54,427.18,526.8714887
0.52,420.58,507.9685013
0.62,424.87,606.265477
0.65,405.32,636.2760592
0.66,394.27,646.6812721
0.67,384.24,656.7607574
0.67,389.38,657.0346962
0.65,406.42,637.6819696
0.65,412.92,637.9359072
0.62,427.41,608.7281442
0.56,443.27,549.9844514
0.61,439.21,599.2652202
0.53,449.05,520.8199112
0.43,449.23,422.6679909
0.48,437.62,471.9054229
0.5,441.12,491.6574974
0.48,449.49,472.073954
0.57,422.77,560.6818045
0.57,428.49,560.7299078
0.53,429.91,521.4223582
0.27,438.09,265.6498457
0.41,447.23,403.3919121
0.38,448.71,373.8716353
0.4,459.81,393.5428439
0.35,441.55,344.3421171
0.56,429.2,550.8938954
0.59,422.15,580.3468917
0.61,423.8,599.954807
0.59,431.62,580.1795237
0.57,433.34,560.4090563
0.59,429.64,579.9624414
0.61,433.05,599.4661712
0.61,437.54,599.3081552
0.55,443.88,540.2148403
0.51,447.18,500.7576443
0.58,445.58,569.1586301
0.55,446.81,539.44983
0.5,448.82,490.1293037
0.4,448.72,391.9074211
0.52,438.7,509.1834483
0.26,436.51,254.4472849
0.59,433.45,577.0635763
0.48,446.33,469.2496417
0.41,443.6,400.5532877
0.43,444.16,419.8575101
0.45,445.07,439.1254357
0.46,445.86,448.6626324
0.29,439.92,282.671378
0.22,440.74,214.3181419
0.37,439.76,360.2091838
0.48,442.02,467.0317376
0.28,446.19,272.2573677
0.51,437.6,495.6475977
0.49,437,475.904343
0.52,440.52,504.757146
0.49,439.41,475.2886194
0.45,441.16,436.2435716
0.38,446.17,368.1387062
0.3,443.54,290.4749172
0.26,444.74,251.5626048
0.29,446.99,280.4278937
0.26,442.49,251.2357511
0.17,442.66,164.1750421
0.34,442.88,328.1150617
0.4,448.12,385.7953689
0.44,444.98,424.0661698
0.34,452.62,327.5956406
0.37,446.86,356.4084405
0.35,445.66,337.0481568
0.4,448.5,385.062342
0.43,447.42,413.8621889
0.36,446.32,346.3667558
0.52,445.22,500.1652542
0.43,447.74,413.488529
0.3,449.23,288.3775988
0.39,446.81,374.7834684
0.39,447.49,374.6831
0.48,444.43,460.9829248
0.45,442.05,432.0159761
0.53,438.08,508.6810988
0.48,442.56,460.5586429
0.45,441.66,431.6172063
0.46,442.08,441.0881019
0.35,442.62,335.4639963
0.24,443.12,229.9483654
0.3,442.01,287.3560108
0.38,440.87,363.8505299
0.34,445.37,325.4305359
0.38,446.55,363.614905
0.39,445.17,373.0181505
0.38,444.98,363.3185678
0.43,436.86,411.0075623
0.45,437.9,429.9317817
0.4,438.19,382.0184468
0.35,444.18,334.1458708
0.33,446.12,314.9331537
0.31,441.63,295.920701
0.48,439.55,458.2728845
0.45,439.04,429.7384227
0.43,441.62,410.7040329
0.37,445.01,353.4580415
0.43,446.18,410.8087034
0.43,445.5,410.8795958
0.12,445.25,114.6646315
0.28,441.49,267.5762086
0.36,440.04,344.0274711
0.44,438.72,420.4849041
0.38,441.93,363.1183664
0.51,437.89,487.3495294
0.47,433.61,449.0904264
0.38,435.09,363.07002
0.48,435.69,458.540715
0.56,435.19,534.9260602
0.48,432.25,458.3970043
0.38,439.81,362.8417354
0.51,434.62,486.8896411
0.52,436.7,496.3183445
0.48,439.59,458.0242695
0.54,437.45,515.1514352
0.42,443.2,400.5057762
0.42,442.11,400.4051461
0.48,442.52,457.4473268
0.48,445.15,457.2922358
0.49,443.22,466.6167725
0.46,442.88,437.8963122
0.42,439.88,399.6088853
0.47,443.17,446.9852722
