Clearness,GHI,Solar Angle,sin(b),Y,X
0.49,380.406172,43.59,0.689493141,7.026387973,1.45034075
0.46,357.1159982,43.59,0.689493141,7.026387973,1.45034075
0.52,403.6963458,43.59,0.689493141,7.026387973,1.45034075
0.54,419.2231284,43.59,0.689493141,7.026387973,1.45034075
0.51,395.9329546,43.59,0.689493141,7.026387973,1.45034075
0.55,426.9023937,43.58,0.689366718,7.026374304,1.450606729
0.55,426.9023937,43.58,0.689366718,7.026374304,1.450606729
0.55,426.8182537,43.57,0.689240274,7.026360628,1.45087285
0.39,302.6529435,43.57,0.689240274,7.026360628,1.45087285
0.48,372.4959305,43.57,0.689240274,7.026360628,1.45087285
0.56,434.4929013,43.56,0.689113808,7.026346945,1.451139112
0.57,442.2517031,43.56,0.689113808,7.026346945,1.451139112
0.52,403.4912624,43.56,0.689113808,7.026430143,1.451139112
0.55,426.6854291,43.55,0.688987322,7.026416451,1.451405516
0.59,457.7170967,43.55,0.688987322,7.026416451,1.451405516
0.59,457.7170967,43.55,0.688987322,7.026416451,1.451405516
0.61,473.1395567,43.54,0.688860815,7.026402752,1.451672063
0.62,480.8959429,43.54,0.688860815,7.026402752,1.451672063
0.65,504.0655881,43.53,0.688734286,7.026389044,1.451938752
0.62,480.8010225,43.53,0.688734286,7.026389044,1.451938752
0.62,450.3224992,40.4,0.648119901,7.021679359,1.542924385
0.57,416.11932,40.65,0.651436559,7.021666229,1.535068898
0.49,359.5240944,40.9,0.654740814,7.021646911,1.527321925
0.65,479.3043333,41.15,0.658032604,7.021619463,1.51968154
0.62,459.4848268,41.4,0.661311865,7.021671463,1.512145861
0.61,454.2900086,41.65,0.664578537,7.02163432,1.504713055
0.54,404.1101519,41.9,0.667832555,7.021591436,1.49738133
0.51,383.492591,42.15,0.67107386,7.021540929,1.490148939
0.5,377.7615164,42.4,0.674302388,7.021486891,1.483014176
0.48,364.3588372,42.65,0.677518078,7.021427417,1.475975377
0.52,396.515301,42.89,0.680593006,7.021431891,1.469306901
0.52,398.3461951,43.14,0.683783357,7.021362073,1.462451507
0.56,430.9484555,43.39,0.686960689,7.021285195,1.455687372
0.61,471.4577631,43.63,0.689998625,7.021191515,1.449278251
0.64,496.8614093,43.88,0.693150266,7.021106704,1.442688618
0.49,382.0238307,44.12,0.696163428,7.021003715,1.436444318
0.51,399.3204411,44.36,0.699164374,7.020978167,1.430278826
0.64,503.19382,44.6,0.702153053,7.020866401,1.424190916
0.65,513.2595791,44.85,0.705253159,7.020763086,1.417930551
0.63,499.4971474,45.09,0.708216629,7.020642606,1.411997345
0.61,485.593958,45.33,0.711167673,7.020516169,1.406138155
0.62,495.6209459,45.58,0.714228408,7.020399683,1.40011233
0.59,473.461892,45.81,0.717032275,7.020338595,1.394637361
0.6,483.3769631,46.05,0.71994573,7.02020188,1.388993584
0.65,525.7882727,46.3,0.722967146,7.020073024,1.383188718
0.63,511.4801682,46.53,0.725734693,7.01991504,1.377914008
0.51,415.6342573,46.77,0.728610099,7.019766771,1.372476172
0.57,466.2866128,47.01,0.731472722,7.019614762,1.367104979
0.55,451.5683322,47.24,0.734204025,7.019532033,1.362019229
0.61,502.5990099,47.47,0.736923498,7.019360172,1.356992962
0.62,512.7133178,47.71,0.739748547,7.019197608,1.351810699
0.47,390.0824623,47.95,0.742560616,7.019031517,1.346691406
0.59,492.0763327,48.29,0.746522066,7.018596697,1.339545132
0.64,536.4432122,48.64,0.75057257,7.018166748,1.332316208
0.6,505.265943,48.98,0.754480526,7.017636345,1.325415256
0.5,423.0251541,49.32,0.758361915,7.01717337,1.318631619
0.45,382.543623,49.67,0.762329567,7.016726705,1.311768615
0.47,401.3659241,50.01,0.766156619,7.016264791,1.30521616
0.55,471.7927461,50.35,0.769956692,7.015797802,1.298774347
0.33,284.3477803,50.7,0.77384021,7.015250566,1.292256447
0.55,475.9076609,51.03,0.777475366,7.014764165,1.286214385
0.6,521.4037155,51.37,0.781193703,7.014282392,1.280092244
0.6,523.6064502,51.71,0.78488453,7.013784644,1.27407276
0.27,236.5862576,52.05,0.788547719,7.013208542,1.26815407
0.66,580.6170308,52.38,0.792076614,7.012703985,1.262504134
0.66,582.9703836,52.72,0.795684962,7.012203777,1.25677881
0.63,558.6936458,53.06,0.799265291,7.011699102,1.251149038
0.56,498.5010256,53.39,0.802713402,7.01118168,1.245774641
0.62,554.0036315,53.73,0.806238149,7.010583152,1.240328309
0.67,600.8790174,54.06,0.809632078,7.010046538,1.235128927
0.66,594.0575769,54.39,0.812999149,7.009516906,1.230013588
0.65,587.1469804,54.72,0.816339251,7.008983359,1.224980912
