Clearness,GHI,Vw,Iw,Ve,Ie,Clearness_F,GHI_F
0.56,353.06,15.69,0.05,11.05,0.03,0.61,325.65
0.52,345.83,15.73,0.05,11.15,0.04,0.60,330.98
0.47,353.7,15.93,0.08,11.19,0.03,0.67,317.26
0.56,335.98,15.19,0.08,10.92,0.02,0.68,317.46
0.52,340.58,15.34,0.08,10.82,0.02,0.65,311.71
0.45,340.58,15.45,0.05,10.79,0.03,0.67,313.25
0.51,343.4,15.22,0.08,11.09,0.02,0.62,304.45
0.58,332.42,15.17,0.04,10.77,0.03,0.55,312.99
0.52,341.88,15.39,0.07,10.70,0.03,0.52,311.30
0.19,380.22,16.85,0.08,12.15,0.04,0.61,314.90
0.48,352.95,15.60,0.05,11.11,0.03,0.58,300.01
0.47,340.66,15.54,0.08,10.82,0.02,0.67,301.60
0.52,315.84,13.99,0.07,10.03,0.04,0.57,308.37
0.59,302.01,13.48,0.04,9.89,0.02,0.62,313.04
0.59,301.03,13.48,0.07,9.51,0.02,0.57,313.05
0.6,310.23,14.18,0.04,10.02,0.03,0.60,320.54
0.55,327.49,14.81,0.08,10.54,0.03,0.59,336.54
0.52,335.09,14.95,0.06,10.56,0.04,0.64,331.21
0.59,324.23,14.41,0.08,10.19,0.02,0.67,325.00
0.61,329.52,14.63,0.08,10.43,0.04,0.63,325.46
0.6,319.43,14.53,0.06,10.41,0.04,0.60,306.31
0.62,312.6,13.89,0.05,10.13,0.03,0.59,304.53
0.59,323.95,14.57,0.05,10.18,0.02,0.58,316.81
0.56,334.45,15.00,0.04,10.47,0.03,0.58,324.35
0.6,334.77,14.97,0.06,10.71,0.01,0.54,303.28
0.62,350.53,15.79,0.06,11.30,0.04,0.64,308.97
0.38,376.13,16.70,0.05,11.87,0.02,0.62,316.33
0.5,356.16,15.84,0.09,11.47,0.03,0.65,314.39
0.64,322.98,14.78,0.07,10.22,0.03,0.59,324.61
0.58,331.5,15.07,0.06,10.71,0.03,0.64,317.20
0.52,339.2,15.46,0.06,10.85,0.03,0.60,305.70
0.52,342.9,15.52,0.05,10.79,0.04,0.58,285.94
0.49,352.29,15.64,0.05,11.08,0.02,0.55,298.77
0.48,342.15,15.29,0.07,10.87,0.04,0.55,315.44
0.53,341.49,15.20,0.04,10.88,0.04,0.52,315.39
0.6,338.46,15.17,0.07,10.75,0.04,0.54,312.19
0.62,342.91,15.30,0.07,10.82,0.02,0.59,307.40
0.59,348.5,15.66,0.08,11.29,0.03,0.63,296.34
0.64,320.81,14.51,0.05,10.33,0.02,0.63,305.59
0.66,326.28,14.45,0.06,10.38,0.01,0.64,308.32
0.58,346.44,15.57,0.05,10.88,0.02,0.63,300.10
0.48,360.82,16.20,0.07,11.40,0.04,0.61,293.94
0.44,370.16,16.43,0.07,11.93,0.03,0.66,301.65
0.44,376.72,16.94,0.06,12.06,0.04,0.56,291.57
0.44,375.16,16.70,0.07,11.74,0.03,0.56,301.71
0.54,353.55,15.74,0.07,11.09,0.03,0.68,309.73
0.59,345.35,15.65,0.05,11.00,0.03,0.68,306.80
0.55,357.13,15.85,0.08,11.36,0.03,0.68,315.59
0.48,376.34,17.15,0.06,11.73,0.03,0.68,319.83
0.37,396.82,17.68,0.05,12.45,0.04,0.66,315.37
0.34,397.01,17.59,0.09,12.63,0.03,0.62,307.45
0.53,383,17.36,0.09,12.14,0.02,0.60,303.78
0.59,379.53,17.12,0.06,11.95,0.02,0.58,314.31
0.59,367.83,16.53,0.05,11.81,0.02,0.62,324.54
0.7,328.89,14.73,0.07,10.40,0.02,0.69,324.79
0.7,317.98,14.41,0.07,10.19,0.02,0.71,330.72
0.66,328.01,14.55,0.05,10.30,0.03,0.69,327.90
0.65,337.49,15.16,0.08,10.83,0.04,0.70,323.15
0.66,339.57,15.17,0.08,10.70,0.04,0.70,331.26
0.64,343.72,15.41,0.07,10.73,0.02,0.60,335.10
0.62,357.02,16.05,0.09,11.32,0.02,0.58,334.70
